slice_type,slice_value,n_reviews,n_pairs,n_gold_strict_polar_pairs,n_gold_strong_polar_pairs,n_same_polar_direction_pairs,mean_vector_l1_distance,mean_vector_l2_distance,mean_cosine_similarity,dominant_class_accuracy,neutral_collapse_rate,polarity_flip_rate,intensity_underestimate_rate,category_id
nm_id,9675256,148,203,167,167,82,0.9843330034493165,0.6893824566990451,0.5895656349634174,0.5665024630541872,0.49700598802395207,0.011976047904191617,0.0,physical_goods
nm_id,15430704,97,139,111,111,73,0.715108665745398,0.4945157003880994,0.7187253802119229,0.6834532374100719,0.2882882882882883,0.05405405405405406,0.0,consumables
nm_id,54581151,96,206,155,155,128,0.612489473640398,0.42422041274190114,0.7865191158857299,0.7912621359223301,0.13548387096774195,0.03870967741935484,0.0,physical_goods
nm_id,117808756,70,109,88,88,69,0.637347418585805,0.44343816724824864,0.8065339602674844,0.8165137614678899,0.20454545454545456,0.011363636363636364,0.0,physical_goods
nm_id,165234215,162,225,202,202,106,1.0147573480433978,0.6903031967962647,0.5743017766993527,0.5244444444444445,0.3613861386138614,0.11386138613861387,0.0,physical_goods
nm_id,209269133,87,107,93,93,61,0.814089629029984,0.5605343946100895,0.6945905027847551,0.6542056074766355,0.3225806451612903,0.021505376344086023,0.0,physical_goods
nm_id,254445126,86,136,106,106,61,0.9553339301638142,0.655760160743397,0.6252498879520099,0.6029411764705882,0.36792452830188677,0.05660377358490566,0.0,physical_goods
nm_id,311233470,98,227,146,146,99,0.7408243253483362,0.5063042514353733,0.7180748098464831,0.7312775330396476,0.273972602739726,0.04794520547945205,0.0,physical_goods
nm_id,441378025,56,67,29,29,21,0.7775906208257969,0.5335968337958066,0.7347456645203205,0.7910447761194029,0.1724137931034483,0.10344827586206896,0.0,physical_goods
nm_id,506358703,98,154,149,149,113,0.6319794293522136,0.4416270650472338,0.8002648286463365,0.7662337662337663,0.22818791946308725,0.013422818791946308,0.0,consumables
nm_id,619500952,100,186,162,162,105,0.8230673125871685,0.5591532418713632,0.6569997137011588,0.6451612903225806,0.21604938271604937,0.13580246913580246,0.0,physical_goods
nm_id,1504973191,55,207,130,130,83,0.8801399825324157,0.6022883586525677,0.637771394289672,0.6328502415458938,0.27692307692307694,0.08461538461538462,0.0,hospitality
nm_id,1526918294,80,246,191,191,107,0.8705309491198,0.5974680960180871,0.642901541432226,0.6097560975609756,0.3769633507853403,0.06282722513089005,0.0,services
nm_id,1645864865,92,178,153,153,89,0.8673716123518788,0.6025431982954078,0.6563234068006117,0.601123595505618,0.39869281045751637,0.0196078431372549,0.0,services
nm_id,1733494834,86,156,98,98,56,0.9082684028008328,0.6242287166359082,0.6442016053283022,0.6730769230769231,0.3673469387755102,0.061224489795918366,0.0,services
nm_id,1809358565,120,230,152,152,95,0.9251090486160651,0.6274161396834563,0.6169620857354501,0.6086956521739131,0.27631578947368424,0.09868421052631579,0.0,hospitality
